By-election	Date	Incumbent	PartyOld	Winner	PartyNew	Cause
Swindon	25 October 1934	Reginald Mitchell Banks	Conservative	Christopher Addison	Labour	Appointment as County Court Judge
Lambeth North	23 October 1934	Frank Briant	Liberal	George Strauss	Labour	Death
Rushcliffe	26 July 1934	Henry Betterton	Conservative	Ralph Assheton	Conservative	Resignation
Fermanagh and Tyrone	27 June 1934	Joseph Devlin	Nationalist	Joseph Francis Stewart	Nationalist	Death
Weston-super-Mare	26 June 1934	James Erskine	Conservative	Ian Orr-Ewing	Conservative	Resignation
Twickenham	22 June 1934	Hylton Murray-Philipson	Conservative	Alfred Critchley	Conservative	Death
Monmouth	14 June 1934	Leolin Forestier-Walker	Conservative	J. A. Herbert	Conservative	Death
Merthyr	5 June 1934	Richard Wallhead	Ind. Labour Party / Labour	S. O. Davies	Labour	Death
Hemsworth	17 May 1934	John Guest	Labour	George Griffiths	Labour	Death
Upton	14 May 1934	Alfred Chotzner	Conservative	Benjamin Walter Gardner	Labour	Resignation
Hammersmith North	24 April 1934	Mary Pickford	Conservative	Fielding West	Labour	Death
Basingstoke	19 April 1934	Gerard Wallop	Conservative	Henry Drummond Wolff	Conservative	Resignation
Combined Scottish Universities	7–12 March 1934	Dugald Cowan	Liberal	George Morrison	Liberal	Death
Portsmouth North	19 February 1934	Bertram Godfray	Conservative	Roger Keyes	Conservative	Elevation to the peerage
Lowestoft	15 February 1934	Gervais Rentoul	Conservative	Pierse Loftus	Conservative	Resignation
Cambridge	8 February 1934	George Newton	Conservative	Richard Tufnell	Conservative	Elevation to the peerage
Wentworth	22 December 1933	George Henry Hirst	Labour	Wilfred Paling	Labour	Death
Harborough	28 November 1933	Arthur Stuart	Conservative	Arthur Tree	Conservative	Resignation
Rutland and Stamford	21 November 1933	Neville Smith-Carington	Conservative	Lord Willoughby de Eresby	Conservative	Death
Manchester Rusholme	21 November 1933	Frank Merriman	Conservative	Edmund Radford	Conservative	Appointment to High Court
Skipton	7 November 1933	Ernest Bird	Conservative	George Rickards	Conservative	Death
Kilmarnock	2 November 1933	Craigie Aitchison	National Labour	Kenneth Lindsay	National Labour	Appointment to Scottish bench
Fulham East	25 October 1933	Kenyon Pascoe Vaughan-Morgan	Conservative	John Charles Wilmot	Labour	Death
Clay Cross	1 September 1933	Charles Duncan	Labour	Arthur Henderson	Labour	Death
Altrincham	14 June 1933	Cyril Atkinson	Conservative	Edward Grigg	Conservative	Appointment to High Court
Hitchin	8 June 1933	Edward Lytton	Conservative	Arnold Wilson	Conservative	Death
Normanton	8 May 1933	Frederick Hall	Labour	Tom Smith	Labour	Death
Rhondda East	28 March 1933	David Watts-Morgan	Labour	William Mainwaring	Labour	Death
Ashford	17 March 1933	Michael Knatchbull	Conservative	Patrick Spens	Conservative	Succession to the peerage
Rotherham	27 February 1933	George Herbert	Conservative	William Dobbie	Labour	Resignation
East Fife	2 February 1933	Sir James Millar	Liberal National	James Henderson-Stewart	Liberal National	Death
Liverpool Exchange	19 January 1933	Sir James Reynolds	Conservative	John Shute	Conservative	Death
Cardiganshire	22 September 1932	Rhys Hopkin Morris	Liberal	Owen Evans	Liberal	Appointment as a Metropolitan Police magistrate
Twickenham	16 September 1932	John Ferguson	Conservative	Hylton Murray-Philipson	Conservative	Death
Wednesbury	26 July 1932	William Ward	Conservative	William Banfield	Labour	Succession to the peerage
North Cornwall	22 July 1932	Donald Maclean	Liberal	Francis Dyke Acland	Liberal	Death
Westminster Abbey	12 July 1932	Otho Nicholson	Conservative	Sidney Herbert	Conservative	Resignation
Montrose Burghs	28 June 1932	Robert Hutchison	Liberal National	Charles Kerr	Liberal National	Elevation to the peerage
Dulwich	8 June 1932	Sir Frederick Hall	Conservative	Bracewell Smith	Conservative	Death
St Marylebone	28 April 1932	Rennell Rodd	Conservative	Alec Cunningham-Reid	Conservative	Resignation
Eastbourne	28 April 1932	Edward Marjoribanks	Conservative	John Slater	Conservative	Death
Wakefield	21 April 1932	George Brown Hillman	Conservative	Arthur Greenwood	Labour	Death
Richmond-upon-Thames	13 April 1932	Newton Moore	Conservative	William Ray	Conservative	Resignation
Dunbartonshire	17 March 1932	John Thom	Conservative	Archibald Cochrane	Conservative	Resignation
Henley	25 February 1932	Robert Henderson	Conservative	Sir Gifford Fox, Bt.	Conservative	Death
New Forest and Christchurch	9 February 1932	Wilfrid Ashley	Conservative	John Mills	Conservative	Elevation to the peerage
Croydon South	9 February 1932	William Mitchell-Thomson	Conservative	Herbert Williams	Conservative	Resignation
